Formatted Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
2016-09-10 03:00:00.000 +0200,Clear,rain,16.6,16.6,0.84,6.44,0,15.9229,0,1015.98,Partly cloudy starting in the morning.
2016-09-10 04:00:00.000 +0200,Clear,rain,16.60555556,16.60555556,0.84,6.6493,11,15.8263,0,1015.97,Partly cloudy starting in the morning.
2016-09-10 05:00:00.000 +0200,Clear,rain,16.67777778,16.67777778,0.83,6.2307,4,14.9569,0,1015.77,Partly cloudy starting in the morning.
2016-09-10 06:00:00.000 +0200,Clear,rain,16.04444444,16.04444444,0.87,2.0286,45,15.7297,0,1015.96,Partly cloudy starting in the morning.
2016-09-10 07:00:00.000 +0200,Partly Cloudy,rain,17.08888889,17.08888889,0.82,4.9749,31,15.7297,0,1016.35,Partly cloudy starting in the morning.
2016-09-10 08:00:00.000 +0200,Partly Cloudy,rain,18.75555556,18.75555556,0.8,9.1448,30,15.1501,0,1016.36,Partly cloudy starting in the morning.
2016-09-10 09:00:00.000 +0200,Partly Cloudy,rain,22.13333333,22.13333333,0.65,8.0178,13,16.1,0,1016.45,Partly cloudy starting in the morning.
2016-09-10 10:00:00.000 +0200,Partly Cloudy,rain,24.95,24.95,0.55,7.889,42,16.1,0,1016.54,Partly cloudy starting in the morning.
2016-09-10 11:00:00.000 +0200,Partly Cloudy,rain,27.54444444,27.73888889,0.47,7.567,103,15.5526,0,1016.3,Partly cloudy starting in the morning.
2016-09-10 12:00:00.000 +0200,Partly Cloudy,rain,28.91111111,28.56666667,0.41,NaN,157,16.1,0,1016.23,Partly cloudy starting in the morning.
2016-09-10 13:00:00.000 +0200,Mostly Cloudy,rain,31.03888889,29.77222222,0.3,15.0696,157,16.1,0,1015.81,Partly cloudy starting in the morning.
2016-09-10 14:00:00.000 +0200,Mostly Cloudy,rain,29.85,28.72222222,0.31,20.447,150,15.5526,0,1015.66,Partly cloudy starting in the morning.
2016-09-10 15:00:00.000 +0200,Mostly Cloudy,rain,28.98333333,27.94444444,0.31,15.6331,151,16.1,0,1015.58,Partly cloudy starting in the morning.
2016-09-10 16:00:00.000 +0200,Mostly Cloudy,rain,28.93888889,28.02777778,0.33,13.6045,151,15.8263,0,1015.2,Partly cloudy starting in the morning.
2016-09-10 17:00:00.000 +0200,Mostly Cloudy,rain,27.75,27.33333333,0.38,3.5098,151,15.3111,0,1015.2,Partly cloudy starting in the morning.
2016-09-10 18:00:00.000 +0200,Mostly Cloudy,rain,27.73333333,27.62222222,0.43,1.2075,51,15.8263,0,1015.01,Partly cloudy starting in the morning.
2016-09-10 19:00:00.000 +0200,Mostly Cloudy,rain,24.95,24.95,0.5,3.0751,340,16.1,0,1014.93,Partly cloudy starting in the morning.
2016-09-10 20:00:00.000 +0200,Mostly Cloudy,rain,23.48888889,23.48888889,0.6,3.5098,18,15.5526,0,1015.52,Partly cloudy starting in the morning.
2016-09-10 21:00:00.000 +0200,Mostly Cloudy,rain,22.52777778,22.52777778,0.67,3.22,0,16.1,0,1015.86,Partly cloudy starting in the morning.
2016-09-10 22:00:00.000 +0200,Mostly Cloudy,rain,21.36666667,21.36666667,0.72,6.2951,20,16.1,0,1016.04,Partly cloudy starting in the morning.
2016-09-10 23:00:00.000 +0200,Mostly Cloudy,rain,21.30555556,21.30555556,0.67,3.381,36,15.1823,0,1016.14,Partly cloudy starting in the morning.
2016-09-11 00:00:00.000 +0200,Mostly Cloudy,rain,20.78888889,20.78888889,0.7,3.22,10,16.1,0,1016.25,Mostly cloudy throughout the day.
2016-09-11 01:00:00.000 +0200,Partly Cloudy,rain,19.28333333,19.28333333,0.77,6.44,20,16.1,0,1016.16,Mostly cloudy throughout the day.
2016-09-11 02:00:00.000 +0200,Partly Cloudy,rain,18.9,18.9,0.77,5.8604,22,15.1823,0,1015.96,Mostly cloudy throughout the day.
2016-09-11 03:00:00.000 +0200,Mostly Cloudy,rain,19.28888889,19.28888889,0.77,3.1878,8,16.1,0,1015.86,Mostly cloudy throughout the day.
2016-09-11 04:00:00.000 +0200,Mostly Cloudy,rain,19.72777778,19.72777778,0.74,6.2951,40,16.1,NaN,1015.76,Mostly cloudy throughout the day.
2016-09-11 05:00:00.000 +0200,Mostly Cloudy,rain,19.02222222,19.02222222,0.8,3.1717,52,15.1823,0,1016.03,Mostly cloudy throughout the day.
2016-09-11 06:00:00.000 +0200,Mostly Cloudy,rain,19.75,19.75,0.74,7.7924,30,16.0517,0,1016.15,Mostly cloudy throughout the day.
2016-09-11 07:00:00.000 +0200,Mostly Cloudy,rain,19.8,19.8,0.79,4.9749,31,16.0517,0,1016.17,Mostly cloudy throughout the day.
2016-09-11 08:00:00.000 +0200,Mostly Cloudy,rain,20.93333333,20.93333333,0.75,3.7996,43,15.1501,0,1016.52,Mostly cloudy throughout the day.
2016-09-11 09:00:00.000 +0200,Mostly Cloudy,rain,24.86111111,24.86111111,0.55,3.5903,80,16.1,0,1016.75,Mostly cloudy throughout the day.
2016-09-11 10:00:00.000 +0200,Partly Cloudy,rain,27.12777778,27.63888889,0.52,3.542,88,16.1,0,1017.24,Mostly cloudy throughout the day.
2016-09-11 11:00:00.000 +0200,Partly Cloudy,rain,28.54444444,28.36111111,0.42,6.9874,92,15.5526,0,1017.27,Mostly cloudy throughout the day.
2016-09-11 12:00:00.000 +0200,Partly Cloudy,rain,28.98333333,28.62777778,0.4,9.4346,51,15.5526,0,1017.18,Mostly cloudy throughout the day.
2016-09-11 13:00:00.000 +0200,Mostly Cloudy,rain,29.00555556,28.31666667,0.36,9.1448,40,16.1,0,1017.14,Mostly cloudy throughout the day.
2016-09-11 14:00:00.000 +0200,Mostly Cloudy,rain,30.15,29.24444444,0.34,3.9123,100,10.5777,0,1016.92,Mostly cloudy throughout the day.
2016-09-11 15:00:00.000 +0200,Mostly Cloudy,rain,30.13888889,29.33333333,0.35,14.6027,58,9.982,0,1016.34,Mostly cloudy throughout the day.
2016-09-11 16:00:00.000 +0200,Mostly Cloudy,rain,32,31.28333333,0.34,12.6546,10,9.982,0,1016.43,Mostly cloudy throughout the day.
2016-09-11 17:00:00.000 +0200,Mostly Cloudy,rain,30.42777778,29.57777778,0.35,10.6904,352,10.5777,0,1016.38,Mostly cloudy throughout the day.
2016-09-11 18:00:00.000 +0200,Mostly Cloudy,rain,28.66111111,28.35555556,0.41,4.7978,352,9.982,0,1016.55,Mostly cloudy throughout the day.
2016-09-11 19:00:00.000 +0200,Mostly Cloudy,rain,24.86111111,24.86111111,0.55,1.5295,10,9.982,0,1016.55,Mostly cloudy throughout the day.
2016-09-11 20:00:00.000 +0200,Mostly Cloudy,rain,23.97777778,23.97777778,0.59,9.2575,150,15.1823,0,1017.64,Mostly cloudy throughout the day.
2016-09-11 21:00:00.000 +0200,Mostly Cloudy,rain,21.03888889,21.03888889,0.69,4.83,270,16.1,0,1017.94,Mostly cloudy throughout the day.
2016-09-11 22:00:00.000 +0200,Partly Cloudy,rain,19.90555556,19.90555556,0.71,6.2951,310,16.1,0,1018.14,Mostly cloudy throughout the day.
2016-09-11 23:00:00.000 +0200,Partly Cloudy,rain,19.13333333,19.13333333,0.76,3.1878,274,15.1823,0,1018.25,Mostly cloudy throughout the day.
2016-09-12 00:00:00.000 +0200,Partly Cloudy,rain,18.21666667,18.21666667,0.82,3.1556,298,16.0517,0,1018.36,Partly cloudy throughout the day.
2016-09-12 01:00:00.000 +0200,Partly Cloudy,rain,17.15,17.15,0.82,11.27,320,15.9229,0,1018.65,Partly cloudy throughout the day.
2016-09-12 02:00:00.000 +0200,Partly Cloudy,rain,17.02777778,17.02777778,0.84,3.0268,276,14.9569,0,1018.65,Partly cloudy throughout the day.
2016-09-12 03:00:00.000 +0200,Partly Cloudy,rain,16.13888889,16.13888889,0.87,3.1878,322,15.8263,0,1018.45,Partly cloudy throughout the day.
2016-09-12 04:00:00.000 +0200,Partly Cloudy,rain,16.11666667,16.11666667,0.87,10.465,340,14.9086,0,1018.35,Partly cloudy throughout the day.
2016-09-12 05:00:00.000 +0200,Partly Cloudy,rain,16.35,16.35,0.88,3.7191,16,14.168,0,1018.44,Partly cloudy throughout the day.
2016-09-12 06:00:00.000 +0200,Partly Cloudy,rain,15.14444444,15.14444444,0.87,8.05,340,9.982,0,1018.46,Partly cloudy throughout the day.
2016-09-12 07:00:00.000 +0200,Partly Cloudy,rain,17.20555556,NaN,0.87,3.3971,107,8.1305,0,1018.75,Partly cloudy throughout the day.
2016-09-12 08:00:00.000 +0200,Partly Cloudy,rain,20.77777778,20.77777778,0.76,2.4633,28,10.1752,0,1019.03,Partly cloudy throughout the day.
2016-09-12 09:00:00.000 +0200,Partly Cloudy,rain,22.78333333,22.78333333,0.67,4.2504,163,16.0517,0,1019.13,Partly cloudy throughout the day.
2016-09-12 10:00:00.000 +0200,Partly Cloudy,rain,26.11111111,26.11111111,0.58,3.0751,172,16.1,0,1019.33,Partly cloudy throughout the day.
2016-09-12 11:00:00.000 +0200,Partly Cloudy,rain,28.40555556,28.45,0.45,3.2844,189,15.5526,0,1019.16,Partly cloudy throughout the day.
2016-09-12 12:00:00.000 +0200,Partly Cloudy,rain,29.92777778,29.36666667,0.38,3.1878,124,16.1,0,1018.84,Partly cloudy throughout the day.
2016-09-12 13:00:00.000 +0200,Partly Cloudy,rain,31.03888889,30.03888889,0.33,7.1162,209,16.1,0,1018.54,Partly cloudy throughout the day.
2016-09-12 14:00:00.000 +0200,Partly Cloudy,rain,31.76666667,30.52222222,0.3,3.4776,123,15.5526,0,1018.09,Partly cloudy throughout the day.
2016-09-12 15:00:00.000 +0200,Partly Cloudy,rain,30.71111111,29.86666667,0.34,9.1609,2,16.1,0,1017.46,Partly cloudy throughout the day.
2016-09-12 16:00:00.000 +0200,Partly Cloudy,rain,29.76111111,28.98333333,0.36,4.0572,94,10.2396,0,1017.18,Partly cloudy throughout the day.
2016-09-12 17:00:00.000 +0200,Mostly Cloudy,rain,29.28333333,28.92777778,0.4,NaN,155,10.5777,0,1017.15,Partly cloudy throughout the day.
2016-09-12 18:00:00.000 +0200,Mostly Cloudy,rain,26.25,26.25,0.48,10.6099,220,9.982,0,1017.61,Partly cloudy throughout the day.
2016-09-12 19:00:00.000 +0200,Mostly Cloudy,rain,24.83333333,24.83333333,0.52,7.7441,321,9.982,0,1017.9,Partly cloudy throughout the day.
2016-09-12 20:00:00.000 +0200,Mostly Cloudy,rain,23.41666667,23.41666667,0.59,11.27,9,10.5777,0,1017.71,Partly cloudy throughout the day.
2016-09-12 21:00:00.000 +0200,Mostly Cloudy,rain,22.52777778,22.52777778,0.6,2.898,5,10.2557,0,1018.14,Partly cloudy throughout the day.
2016-09-12 22:00:00.000 +0200,Mostly Cloudy,rain,21.92222222,21.92222222,0.66,3.22,340,16.1,0,1018.05,Partly cloudy throughout the day.
2016-09-12 23:00:00.000 +0200,Mostly Cloudy,rain,21.91111111,21.91111111,0.66,9.1931,261,15.1501,0,1018.17,Partly cloudy throughout the day.
2016-09-13 00:00:00.000 +0200,Partly Cloudy,rain,21.27777778,21.27777778,0.67,0,0,16.0517,0,1017.78,Partly cloudy overnight.
2016-09-13 01:00:00.000 +0200,Partly Cloudy,rain,19.16666667,19.16666667,0.72,3.1717,12,15.9229,0,1017.77,Partly cloudy overnight.
2016-09-13 02:00:00.000 +0200,Partly Cloudy,rain,18.62777778,18.62777778,0.79,2.6082,282,14.9569,0,1017.82,Partly cloudy overnight.
2016-09-13 03:00:00.000 +0200,Clear,rain,17.17222222,17.17222222,0.86,5.474,188,14.9569,0,1017.77,Partly cloudy overnight.
2016-09-13 04:00:00.000 +0200,Clear,rain,16.57777778,16.57777778,0.85,0,0,15.7297,0,1017.65,Partly cloudy overnight.
2016-09-13 05:00:00.000 +0200,Clear,rain,16.16111111,16.16111111,0.88,2.1413,305,14.8764,0,1017.64,Partly cloudy overnight.
2016-09-13 06:00:00.000 +0200,Partly Cloudy,rain,15.07222222,15.07222222,0.88,0.1288,340,9.9015,0,1017.55,Partly cloudy overnight.
2016-09-13 07:00:00.000 +0200,Partly Cloudy,rain,17.06666667,17.06666667,0.93,1.288,123,9.9015,0,1017.73,Partly cloudy overnight.
2016-09-13 08:00:00.000 +0200,Partly Cloudy,rain,19.48888889,19.48888889,0.81,2.8819,165,9.9015,0,1017.74,Partly cloudy overnight.
2016-09-13 09:00:00.000 +0200,Partly Cloudy,rain,22.13333333,22.13333333,0.73,4.2665,186,12.075,0,1017.83,Partly cloudy overnight.
2016-09-13 10:00:00.000 +0200,Partly Cloudy,rain,24.95555556,24.95555556,0.59,3.0912,183,15.134,0,1017.83,Partly cloudy overnight.
2016-09-13 11:00:00.000 +0200,Partly Cloudy,rain,26.92777778,27.29444444,0.49,3.9606,287,15.5204,0,1017.5,Partly cloudy overnight.
2016-09-13 12:00:00.000 +0200,Partly Cloudy,rain,28.79444444,28.75555556,0.44,3.0912,29,16.0517,0,1017.04,Partly cloudy overnight.
2016-09-13 13:00:00.000 +0200,Partly Cloudy,rain,29.90555556,29.17222222,0.36,7.7119,49,15.8263,0,1016.45,Partly cloudy overnight.
2016-09-13 14:00:00.000 +0200,Partly Cloudy,rain,29.78333333,29.1,0.37,4.7656,36,10.3523,0,1015.61,Partly cloudy overnight.
2016-09-13 15:00:00.000 +0200,Mostly Cloudy,rain,22.67777778,22.67777778,0.71,27.2412,89,9.982,0,1015.8,Partly cloudy overnight.
2016-09-13 16:00:00.000 +0200,Overcast,rain,21.33333333,21.33333333,0.8,16.4703,238,8.1305,0,1016.12,Partly cloudy overnight.
2016-09-13 17:00:00.000 +0200,Overcast,rain,18.55555556,18.55555556,0.88,18.7726,175,9.982,0,1016.96,Partly cloudy overnight.
2016-09-13 18:00:00.000 +0200,Mostly Cloudy,rain,19.1,19.1,0.83,13.8621,149,10.2557,0,1015.96,Partly cloudy overnight.
2016-09-13 19:00:00.000 +0200,Mostly Cloudy,rain,17.89444444,17.89444444,0.9,4.669,296,16.1,0,1015.73,Partly cloudy overnight.
2016-09-13 20:00:00.000 +0200,Mostly Cloudy,rain,17.77777778,17.77777778,0.91,9.66,340,14.9569,0,1016.75,Partly cloudy overnight.
2016-09-13 21:00:00.000 +0200,Partly Cloudy,rain,17.19444444,17.19444444,0.88,4.5885,42,15.7297,0,1016.78,Partly cloudy overnight.
2016-09-13 22:00:00.000 +0200,Partly Cloudy,rain,16.10555556,16.10555556,0.93,3.22,40,11.8013,0,1016.41,Partly cloudy overnight.
2016-09-13 23:00:00.000 +0200,Partly Cloudy,rain,15.20555556,15.20555556,0.96,3.0268,44,8.1466,0,1016.53,Partly cloudy overnight.
2016-09-14 00:00:00.000 +0200,Partly Cloudy,rain,15.48333333,15.48333333,0.96,3.22,100,5.9731,0,1016.34,Foggy in the morning.
2016-09-14 01:00:00.000 +0200,Partly Cloudy,rain,14.48888889,14.48888889,0.96,2.9302,290,5.9731,0,1016.14,Foggy in the morning.
2016-09-14 02:00:00.000 +0200,Partly Cloudy,rain,14.65555556,14.65555556,0.96,2.6887,319,6.5849,0,1016.04,Foggy in the morning.
2016-09-14 03:00:00.000 +0200,Partly Cloudy,rain,14.42222222,14.42222222,0.96,6.44,340,5.9731,0,1015.76,Foggy in the morning.
2016-09-14 04:00:00.000 +0200,Partly Cloudy,rain,13.88888889,13.88888889,0.96,3.1717,18,4.8461,0,1015.46,Foggy in the morning.
2016-09-14 05:00:00.000 +0200,Foggy,rain,13.14444444,13.14444444,0.99,3.2039,2,2.2218,0,1015.33,Foggy in the morning.
2016-09-14 06:00:00.000 +0200,Foggy,rain,13.82222222,13.82222222,0.94,4.83,10,1.9642,0,1015.44,Foggy in the morning.
2016-09-14 07:00:00.000 +0200,Foggy,rain,13.87222222,13.87222222,0.94,3.2039,321,1.9803,0,1015.64,Foggy in the morning.
2016-09-14 08:00:00.000 +0200,Partly Cloudy,rain,15.31666667,15.31666667,0.99,0.2093,20,4.991,0,1015.7,Foggy in the morning.
2016-09-14 09:00:00.000 +0200,Partly Cloudy,rain,18.82222222,18.82222222,0.9,1.8837,354,8.05,0,1015.74,Foggy in the morning.
2016-09-14 10:00:00.000 +0200,Partly Cloudy,rain,21.16111111,21.16111111,0.78,3.0751,220,9.982,0,1015.82,Foggy in the morning.
2016-09-14 11:00:00.000 +0200,Partly Cloudy,rain,23.73888889,23.73888889,0.66,1.3202,69,10.2235,0,1015.67,Foggy in the morning.
2016-09-14 12:00:00.000 +0200,Partly Cloudy,rain,26.01666667,26.01666667,0.54,4.508,221,9.982,0,1015.52,Foggy in the morning.
2016-09-14 13:00:00.000 +0200,Partly Cloudy,rain,26.13888889,26.13888889,0.5,7.1484,170,9.982,0,1015.23,Foggy in the morning.
2016-09-14 14:00:00.000 +0200,Partly Cloudy,rain,27.02777778,27.22777778,0.46,3.22,197,10.3523,0,1014.95,Foggy in the morning.
2016-09-14 15:00:00.000 +0200,Partly Cloudy,rain,27.15,27.38333333,0.47,4.83,160,9.982,0,1014.52,Foggy in the morning.
2016-09-14 16:00:00.000 +0200,Partly Cloudy,rain,27.15,27.06111111,NaN,4.3309,171,9.982,0,1014.13,Foggy in the morning.
2016-09-14 17:00:00.000 +0200,Partly Cloudy,rain,27.06111111,27.11666667,0.44,3.381,192,10.3523,0,1013.76,Foggy in the morning.
2016-09-14 18:00:00.000 +0200,Partly Cloudy,rain,25.98888889,25.98888889,0.51,8.0017,279,15.8263,0,1013.83,Foggy in the morning.
2016-09-14 19:00:00.000 +0200,Partly Cloudy,rain,22.65555556,22.65555556,0.63,4.7495,291,16.1,0,1014.23,Foggy in the morning.
2016-09-14 20:00:00.000 +0200,Partly Cloudy,rain,20.93888889,20.93888889,0.74,2.9141,321,15.5204,0,1014.78,Foggy in the morning.
2016-09-14 21:00:00.000 +0200,Partly Cloudy,rain,18.79444444,18.79444444,0.85,1.61,350,15.6975,0,1015.14,Foggy in the morning.
2016-09-14 22:00:00.000 +0200,Partly Cloudy,rain,18.21666667,18.21666667,0.82,0,0,15.6492,0,1015.34,Foggy in the morning.
2016-09-14 23:00:00.000 +0200,Partly Cloudy,rain,17.63888889,17.63888889,0.88,5.957,258,14.7154,0,1015.67,Foggy in the morning.
2016-09-15 00:00:00.000 +0200,Partly Cloudy,rain,16.57777778,16.57777778,0.88,0,0,15.5526,0,1016.03,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 01:00:00.000 +0200,Clear,rain,15.99444444,15.99444444,0.94,0,0,9.7083,0,1015.93,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 02:00:00.000 +0200,Clear,rain,15.52777778,15.52777778,0.94,3.22,270,8.1788,0,1015.79,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 03:00:00.000 +0200,Clear,rain,15.05,15.05,0.96,0.6601,70,7.8729,0,1015.65,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 04:00:00.000 +0200,Clear,rain,14.45,14.45,0.93,3.0268,347,8.05,0,1015.63,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 05:00:00.000 +0200,Clear,rain,14.00555556,14.00555556,0.96,5.8282,37,8.3398,0,1015.64,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 06:00:00.000 +0200,Clear,rain,13.82222222,13.82222222,0.93,3.22,280,6.1985,0,1015.55,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 07:00:00.000 +0200,Clear,rain,14.86666667,14.86666667,0.93,0.1449,60,3.8318,0,1016.23,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 08:00:00.000 +0200,Clear,rain,18.51666667,18.51666667,0.91,2.7531,118,6.4883,0,1016.64,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 09:00:00.000 +0200,Clear,rain,22.01666667,22.01666667,0.73,3.0912,173,8.4203,0,1016.75,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 10:00:00.000 +0200,Clear,rain,24.83888889,24.83888889,0.62,7.3416,219,16.1,0,1016.93,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 11:00:00.000 +0200,Clear,rain,25.92222222,25.92222222,0.51,7.1162,228,15.1823,0,1017.06,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 12:00:00.000 +0200,Partly Cloudy,rain,27.15,27.40555556,0.48,9.3219,240,9.982,0,1016.92,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 13:00:00.000 +0200,Partly Cloudy,rain,27.24444444,27.45555556,0.47,1.5939,229,16.1,0,1016.91,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 14:00:00.000 +0200,Partly Cloudy,rain,27.77777778,27.60555556,0.42,2.3184,245,15.5526,0,1016.52,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 15:00:00.000 +0200,Partly Cloudy,rain,27.84444444,27.60555556,0.41,10.8997,239,16.1,0,1016.11,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 16:00:00.000 +0200,Partly Cloudy,rain,28.86111111,28.25555556,0.37,10.9158,230,16.1,0,1015.91,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 17:00:00.000 +0200,Partly Cloudy,rain,28.02222222,27.50555556,0.37,7.5026,259,15.5526,0,1015.64,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 18:00:00.000 +0200,Partly Cloudy,rain,26.15555556,26.15555556,0.47,4.4597,132,16.1,0,1015.4,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 19:00:00.000 +0200,Partly Cloudy,rain,22.70555556,22.70555556,0.66,4.83,130,16.1,0,1015.71,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 20:00:00.000 +0200,Partly Cloudy,rain,20.1,20.1,0.74,4.6529,109,15.1823,0,1016.05,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 21:00:00.000 +0200,Clear,rain,18.77222222,18.77222222,0.84,0,0,16.1,0,1016.43,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 22:00:00.000 +0200,Clear,rain,18.72777778,18.72777778,0.82,3.22,160,16.1,0,1016.63,Partly cloudy starting in the afternoon continuing until evening.
2016-09-15 23:00:00.000 +0200,Clear,rain,17.75555556,17.75555556,0.85,3.2039,199,14.9569,0,1016.84,Partly cloudy starting in the afternoon continuing until evening.
2016-09-16 00:00:00.000 +0200,Clear,rain,17.10555556,17.10555556,0.9,0,0,14.9086,0,1016.72,Partly cloudy starting in the afternoon.
2016-09-16 01:00:00.000 +0200,Clear,rain,16.50555556,16.50555556,0.9,6.1502,140,9.9015,0,1016.52,Partly cloudy starting in the afternoon.
2016-09-16 02:00:00.000 +0200,Clear,rain,16.95,16.95,0.89,5.8926,142,8.3398,0,1016.67,Partly cloudy starting in the afternoon.
2016-09-16 03:00:00.000 +0200,Clear,rain,15.46666667,15.46666667,0.93,3.22,150,7.9695,0,1016.73,Partly cloudy starting in the afternoon.
2016-09-16 04:00:00.000 +0200,Clear,rain,15.41666667,15.41666667,0.96,3.22,170,6.0697,0,1016.63,Partly cloudy starting in the afternoon.
2016-09-16 05:00:00.000 +0200,Clear,rain,14.98333333,14.98333333,0.96,2.6565,155,6.2951,0,1016.58,Partly cloudy starting in the afternoon.
